name,listening count,Z-score,IQR_meth
Britney Spears,2393140,70.07,True
Depeche Mode,1301308,38.05,True
Lady Gaga,1291387,37.76,True
Christina Aguilera,1058405,30.92,True
Paramore,963449,28.14,True
Madonna,921198,26.9,True
Rihanna,905423,26.44,True
Shakira,688529,20.08,True
The Beatles,662116,19.3,True
Katy Perry,532545,15.5,True
Avril Lavigne,525844,15.31,True
Taylor Swift,525292,15.29,True
Evanescence,513476,14.94,True
Glee Cast,506453,14.74,True
Beyoncé,499318,14.53,True
U2,493024,14.34,True
Miley Cyrus,489065,14.23,True
30 Seconds to Mars,485532,14.12,True
Muse,485076,14.11,True
Pink Floyd,466104,13.55,True
Kylie Minogue,449292,13.06,True
Radiohead,385306,11.18,True
Ke$ha,384405,11.16,True
Mariah Carey,384307,11.16,True
Metallica,371916,10.79,True
Iron Maiden,368710,10.7,True
Thalía,350035,10.15,True
Duran Duran,348919,10.12,True
Coldplay,330757,9.58,True
Eminem,321011,9.3,True
Blur,318221,9.22,True
Michael Jackson,296882,8.59,True
Arctic Monkeys,288520,8.35,True
System of a Down,277397,8.02,True
Linkin Park,265362,7.67,True
Kelly Clarkson,253027,7.31,True
Pearl Jam,251440,7.26,True
Placebo,245878,7.1,True
In Flames,237148,6.84,True
All Time Low,215777,6.21,True
Amy Winehouse,213103,6.13,True
P!nk,207761,5.98,True
a-ha,205195,5.9,True
Led Zeppelin,203665,5.86,True
Björk,202178,5.81,True
Avenged Sevenfold,200949,5.78,True
Justin Bieber,200027,5.75,True
The Killers,191979,5.51,True
Nirvana,190232,5.46,True
Black Eyed Peas,188634,5.42,True
Daft Punk,176043,5.05,True
Ashley Tisdale,166644,4.77,True
Oasis,165975,4.75,True
Leona Lewis,162288,4.64,True
Nine Inch Nails,160317,4.59,True
My Chemical Romance,159733,4.57,True
Green Day,155321,4.44,True
Backstreet Boys,153101,4.37,True
The Cure,151103,4.32,True
Kings of Leon,148452,4.24,True
Jennifer Lopez,144710,4.13,True
Demi Lovato,139378,3.97,True
The Pretty Reckless,138049,3.93,True
Sarah Brightman,137581,3.92,True
Sigur Rós,133955,3.81,True
Guns N' Roses,133931,3.81,True
David Bowie,133511,3.8,True
Black Sabbath,131397,3.74,True
The Pussycat Dolls,130855,3.72,True
The Strokes,130227,3.7,True
Rammstein,129745,3.69,True
Lily Allen,129352,3.68,True
Carrie Underwood,126314,3.59,True
Hilary Duff,123682,3.51,True
Janet Jackson,120665,3.42,True
Panic! At the Disco,120336,3.41,True
Alanis Morissette,117229,3.32,True
Red Hot Chili Peppers,116768,3.31,True
Adam Lambert,115538,3.27,True
The Veronicas,114690,3.25,True
Queen,114505,3.24,True
Bright Eyes,113631,3.22,True
Florence + the Machine,113467,3.21,True
Nelly Furtado,110218,3.12,True
Selena Gomez & the Scene,110123,3.11,True
Megadeth,102662,2.9,True
blink-182,102334,2.89,True
Los Hermanos,100819,2.84,True
Death Cab for Cutie,100298,2.83,True
倖田來未,99845,2.81,True
AC/DC,99820,2.81,True
Joy Division,99296,2.8,True
Enrique Iglesias,97089,2.73,True
50 Cent,96353,2.71,True
Marilyn Manson,96201,2.71,True
The Doors,95880,2.7,True
Cyndi Lauper,94551,2.66,True
Kanye West,94501,2.66,True
The Kooks,94398,2.65,True
3OH!3,94179,2.65,True
Ashlee Simpson,93828,2.64,True
Pet Shop Boys,91869,2.58,True
The Smiths,91740,2.58,True
Justin Timberlake,91169,2.56,True
Alicia Keys,91066,2.56,True
A Day to Remember,90365,2.53,True
The Devil Wears Prada,90154,2.53,True
Porcupine Tree,88594,2.48,True
The Smashing Pumpkins,88270,2.47,True
Foo Fighters,88086,2.47,True
Wanessa,87617,2.45,True
The Rolling Stones,87432,2.45,True
David Archuleta,86342,2.42,True
MGMT,86195,2.41,True
Lindsay Lohan,85160,2.38,True
McFly,83954,2.35,True
Céline Dion,83373,2.33,True
Erasure,83206,2.33,True
Nightwish,83061,2.32,True
Franz Ferdinand,82999,2.32,True
Interpol,81822,2.28,True
Girls Aloud,80222,2.24,True
Rise Against,80184,2.24,True
Opeth,79847,2.23,True
Fall Out Boy,79486,2.22,True
Bring Me The Horizon,78578,2.19,True
Slipknot,78363,2.18,True
Within Temptation,78342,2.18,True
Enigma,77046,2.14,True
Elvis Presley,76175,2.12,True
Tool,76012,2.11,True
Keane,75804,2.11,True
Flyleaf,75634,2.1,True
Leighton Meester,75372,2.1,True
Adele,75169,2.09,True
Brandy,74834,2.08,True
Boards of Canada,74039,2.06,True
Ramones,73961,2.05,True
Nicole Scherzinger,73597,2.04,True
Jordin Sparks,72962,2.02,True
Matanza,71710,1.99,True
HIM,71488,1.98,True
