tagValue,count,Z-score,IQR_meth
rock,7503,44.45,True
pop,5418,32.06,True
alternative,5251,31.07,True
electronic,4672,27.63,True
indie,4458,26.36,True
female vocalists,4228,25.0,True
80s,2791,16.46,True
dance,2739,16.15,True
alternative rock,2631,15.51,True
classic rock,2287,13.47,True
british,2092,12.31,True
indie rock,2060,12.12,True
singer-songwriter,1834,10.78,True
hard rock,1789,10.51,True
experimental,1741,10.23,True
metal,1729,10.16,True
ambient,1699,9.98,True
90s,1615,9.48,True
new wave,1595,9.36,True
seen live,1439,8.43,True
chillout,1387,8.12,True
hip-hop,1385,8.11,True
punk,1311,7.67,True
folk,1309,7.66,True
electronica,1289,7.54,True
rnb,1266,7.41,True
instrumental,1203,7.03,True
heavy metal,1108,6.47,True
soul,1097,6.4,True
acoustic,1045,6.09,True
progressive rock,1038,6.05,True
70s,1025,5.97,True
jazz,984,5.73,True
soundtrack,945,5.5,True
male vocalists,925,5.38,True
industrial,884,5.14,True
trip-hop,876,5.09,True
metalcore,867,5.04,True
rap,860,4.99,True
synthpop,847,4.92,True
american,828,4.8,True
hardcore,823,4.77,True
indie pop,815,4.73,True
pop rock,811,4.7,True
00s,808,4.69,True
britpop,765,4.43,True
post-punk,757,4.38,True
60s,745,4.31,True
punk rock,744,4.31,True
blues,705,4.07,True
psychedelic,700,4.04,True
downtempo,685,3.95,True
beautiful,675,3.9,True
sexy,665,3.84,True
thrash metal,654,3.77,True
idm,640,3.69,True
post-rock,633,3.65,True
electro,631,3.63,True
awesome,625,3.6,True
love,620,3.57,True
mellow,595,3.42,True
cover,583,3.35,True
death metal,582,3.34,True
female vocalist,579,3.33,True
post-hardcore,567,3.25,True
brazilian,565,3.24,True
amazing,539,3.09,True
pop punk,531,3.04,True
country,514,2.94,True
ebm,511,2.92,True
progressive metal,506,2.89,True
emo,505,2.89,True
hip hop,504,2.88,True
piano,478,2.73,True
screamo,468,2.67,True
trance,464,2.64,True
funk,459,2.61,True
classical,454,2.58,True
nu metal,452,2.57,True
favorites,448,2.55,True
melodic death metal,433,2.46,True
gothic,412,2.33,True
grunge,408,2.31,True
house,404,2.29,True
german,394,2.23,True
female,392,2.21,True
canadian,388,2.19,True
power metal,388,2.19,True
techno,382,2.16,True
ballad,381,2.15,True
uk,377,2.13,True
<3,355,1.99,True
love at first listen,349,1.96,True
cool,346,1.94,True
french,341,1.91,True
catchy,335,1.88,True
deathcore,334,1.87,True
japanese,331,1.85,True
synth pop,327,1.83,True
sad,315,1.76,True
latin,313,1.75,True
usa,312,1.74,True
shoegaze,308,1.72,True
reggae,306,1.7,True
brasil,306,1.7,True
black metal,301,1.67,True
gothic metal,300,1.67,True
epic,300,1.67,True
electropop,296,1.64,True
world,291,1.61,True
favorite,289,1.6,True
blues rock,288,1.6,True
mpb,278,1.54,True
minimal,272,1.5,True
oldies,258,1.42,True
progressive,256,1.41,True
lounge,256,1.41,True
covers,255,1.4,True
darkwave,244,1.34,True
disco,242,1.32,True
new age,239,1.31,True
symphonic metal,239,1.31,True
classic,239,1.31,True
avant-garde,238,1.3,True
guitar,237,1.29,True
dream pop,228,1.24,True
atmospheric,227,1.23,True
lo-fi,224,1.22,True
noise,218,1.18,True
psychedelic rock,218,1.18,True
fun,217,1.18,True
happy,213,1.15,True
j-pop,212,1.15,True
alternative metal,212,1.15,True
swedish,211,1.14,True
christian,210,1.13,True
industrial metal,210,1.13,True
soft rock,209,1.13,True
chill,209,1.13,True
remix,202,1.09,True
romantic,200,1.07,True
favorite songs,197,1.06,True
english,195,1.04,True
ska,193,1.03,True
rock n roll,192,1.03,True
spanish,190,1.01,True
rock and roll,188,1.0,True
urban,184,0.98,True
j-rock,174,0.92,True
grindcore,174,0.92,True
russian,174,0.92,True
legend,171,0.9,True
sweet,170,0.9,True
dreamy,168,0.88,True
dark electro,168,0.88,True
garage rock,168,0.88,True
polish,168,0.88,True
futurepop,167,0.88,True
christian rock,167,0.88,True
gothic rock,166,0.87,True
doom metal,164,0.86,True
hair metal,163,0.85,True
melancholic,151,0.78,True
disney,149,0.77,True
hot,149,0.77,True
powerpop,149,0.77,True
glam rock,149,0.77,True
relax,146,0.75,True
party,145,0.75,True
relaxing,144,0.74,True
dark ambient,143,0.74,True
perfect,143,0.74,True
brazil,142,0.73,True
new romantic,142,0.73,True
italian,142,0.73,True
icelandic,138,0.71,True
emocore,138,0.71,True
2008,137,0.7,True
mathcore,134,0.68,True
love songs,134,0.68,True
love it,133,0.68,True
guilty pleasures,132,0.67,True
ethereal,132,0.67,True
fucking awesome,132,0.67,True
50s,131,0.66,True
southern rock,130,0.66,True
electroclash,129,0.65,True
speed metal,128,0.65,True
australian,127,0.64,True
dub,126,0.63,True
easy listening,126,0.63,True
bossa nova,125,0.63,True
favourites,125,0.63,True
guilty pleasure,124,0.62,True
cute,124,0.62,True
christmas,124,0.62,True
diva,123,0.62,True
psytrance,122,0.61,True
brutal death metal,122,0.61,True
male vocalist,121,0.61,True
2010,120,0.6,True
finnish,120,0.6,True
female fronted metal,118,0.59,True
gossip girl,118,0.59,True
melancholy,116,0.58,True
progressive trance,115,0.57,True
power pop,112,0.55,True
indietronica,111,0.55,True
summer,111,0.55,True
brilliant,109,0.53,True
gay,109,0.53,True
post rock,109,0.53,True
post-grunge,106,0.52,True
top 40,106,0.52,True
dark,106,0.52,True
latin pop,104,0.5,True
live,104,0.5,True
best song ever,104,0.5,True
technical death metal,104,0.5,True
vocal,104,0.5,True
lovely,103,0.5,True
drum and bass,103,0.5,True
halloween,103,0.5,True
visual kei,101,0.49,True
genius,101,0.49,True
glam metal,101,0.49,True
acoustic rock,100,0.48,True
memories,99,0.47,True
art rock,97,0.46,True
male,96,0.46,True
drone,96,0.46,True
teen pop,96,0.46,True
american idol,94,0.44,True
korean,94,0.44,True
goth,93,0.44,True
rockabilly,93,0.44,True
ultimate favorite,93,0.44,True
club,92,0.43,True
folk rock,90,0.42,True
guitar virtuoso,90,0.42,True
noise pop,90,0.42,True
k-pop,88,0.41,True
acid jazz,87,0.4,True
turkish,87,0.4,True
gospel,87,0.4,True
scottish,87,0.4,True
the vampire diaries,86,0.4,True
the best,85,0.39,True
80s pop,84,0.39,True
addictive,84,0.39,True
anime,84,0.39,True
hardcore punk,83,0.38,True
electro pop,82,0.37,True
college rock,82,0.37,True
underground hip-hop,81,0.37,True
dubstep,81,0.37,True
gangsta rap,81,0.37,True
2009,81,0.37,True
nice,80,0.36,True
industrial rock,80,0.36,True
world music,80,0.36,True
indie luv,79,0.36,True
songs for gil,79,0.36,True
groove metal,79,0.36,True
indie folk,78,0.35,True
funny,78,0.35,True
glam,78,0.35,True
folk metal,77,0.34,True
sex,77,0.34,True
irish,76,0.34,True
rain,76,0.34,True
chill zone,76,0.34,True
emotional,75,0.33,True
melodic hardcore,75,0.33,True
descoperiri,74,0.33,True
4m4zinq,74,0.33,True
stoner rock,74,0.33,True
rhythm and blues,74,0.33,True
nu-metal,74,0.33,True
fantastic,73,0.32,True
eurodance,73,0.32,True
tbu,72,0.31,True
