quarter,id,freq
"(2005, 3)",2191,47
"(2005, 3)",17,46
"(2005, 3)",370,45
"(2005, 3)",1,41
"(2005, 3)",3496,36
"(2005, 4)",73,55
"(2005, 4)",296,53
"(2005, 4)",84,53
"(2005, 4)",79,50
"(2005, 4)",275,50
"(2006, 1)",73,70
"(2006, 1)",81,51
"(2006, 1)",192,50
"(2006, 1)",9182,49
"(2006, 1)",4938,49
"(2006, 2)",73,161
"(2006, 2)",192,98
"(2006, 2)",79,72
"(2006, 2)",25,70
"(2006, 2)",24,65
"(2006, 3)",73,197
"(2006, 3)",24,129
"(2006, 3)",25,100
"(2006, 3)",79,83
"(2006, 3)",352,79
"(2006, 4)",79,143
"(2006, 4)",73,120
"(2006, 4)",81,107
"(2006, 4)",18,88
"(2006, 4)",33,86
"(2007, 1)",73,178
"(2007, 1)",81,161
"(2007, 1)",79,100
"(2007, 1)",84,76
"(2007, 1)",130,75
"(2007, 2)",73,158
"(2007, 2)",79,113
"(2007, 2)",18,93
"(2007, 2)",81,73
"(2007, 2)",130,70
"(2007, 3)",73,256
"(2007, 3)",79,249
"(2007, 3)",81,169
"(2007, 3)",18,142
"(2007, 3)",130,132
"(2007, 4)",73,364
"(2007, 4)",79,348
"(2007, 4)",81,246
"(2007, 4)",18,193
"(2007, 4)",24,189
"(2008, 1)",73,343
"(2008, 1)",79,241
"(2008, 1)",130,234
"(2008, 1)",81,200
"(2008, 1)",18,184
"(2008, 2)",73,400
"(2008, 2)",79,273
"(2008, 2)",81,269
"(2008, 2)",24,247
"(2008, 2)",18,247
"(2008, 3)",73,373
"(2008, 3)",24,345
"(2008, 3)",79,321
"(2008, 3)",81,302
"(2008, 3)",130,248
"(2008, 4)",73,362
"(2008, 4)",18,284
"(2008, 4)",79,281
"(2008, 4)",130,265
"(2008, 4)",24,228
"(2009, 1)",73,467
"(2009, 1)",24,358
"(2009, 1)",130,314
"(2009, 1)",79,291
"(2009, 1)",18,281
"(2009, 2)",73,565
"(2009, 2)",81,369
"(2009, 2)",79,354
"(2009, 2)",24,332
"(2009, 2)",130,274
"(2009, 3)",73,346
"(2009, 3)",79,282
"(2009, 3)",18,250
"(2009, 3)",24,234
"(2009, 3)",130,219
"(2009, 4)",73,375
"(2009, 4)",24,317
"(2009, 4)",130,280
"(2009, 4)",18,259
"(2009, 4)",79,234
"(2010, 1)",73,513
"(2010, 1)",79,405
"(2010, 1)",24,402
"(2010, 1)",18,310
"(2010, 1)",130,292
"(2010, 2)",24,527
"(2010, 2)",73,518
"(2010, 2)",18,421
"(2010, 2)",79,343
"(2010, 2)",130,337
"(2010, 3)",73,556
"(2010, 3)",24,511
"(2010, 3)",18,464
"(2010, 3)",130,377
"(2010, 3)",79,330
"(2010, 4)",73,447
"(2010, 4)",24,438
"(2010, 4)",18,349
"(2010, 4)",130,343
"(2010, 4)",81,278
"(2011, 1)",73,511
"(2011, 1)",24,409
"(2011, 1)",18,349
"(2011, 1)",79,323
"(2011, 1)",81,323
"(2011, 2)",73,144
"(2011, 2)",18,126
"(2011, 2)",24,104
"(2011, 2)",79,89
"(2011, 2)",81,74
