userID,weight,Z-score
757,480039,9.1
2000,468409,8.86
1418,416349,7.79
1642,388251,7.21
1094,379125,7.03
1942,348527,6.4
2071,338400,6.19
2031,329980,6.02
514,329782,6.02
387,322661,5.87
1146,308167,5.57
1210,294016,5.28
107,277680,4.95
1905,276295,4.92
385,259106,4.57
12,256144,4.5
903,255533,4.49
459,255516,4.49
1664,251560,4.41
1236,248680,4.35
446,244556,4.27
1111,243124,4.24
1195,240927,4.19
2072,240173,4.18
1339,240166,4.18
1086,235137,4.07
621,233807,4.05
581,232504,4.02
584,232475,4.02
734,230001,3.97
1924,223795,3.84
938,217254,3.71
778,216037,3.68
1301,210198,3.56
428,203645,3.43
104,200979,3.37
1961,198651,3.33
455,192291,3.19
164,192063,3.19
113,191781,3.18
1478,189034,3.13
541,186842,3.08
946,184251,3.03
